metric,group,r,p,agreement_pct,n_total,n_valid
analogy_v2,all,-0.02647619896552698,0.6175759617446123,48.60335195530726,800,358
analogy_v2,synth_dpo_only,-0.12792042981336627,0.21918604115189738,43.61702127659575,300,94
analogy_v2,non_dpo,0.008971973838282746,0.8846409994241772,50.378787878787875,500,264
metaphor_v8,all,-0.14597036004974878,0.009592761213150093,42.675159235668794,800,314
metaphor_v8,synth_dpo_only,-0.2475581144124246,0.009450420758297447,37.61467889908257,300,109
metaphor_v8,non_dpo,-0.0915430388048363,0.19174816512636186,45.36585365853659,500,205
scaffolding_v2,all,0.015211601491736514,0.8071440919334658,50.76923076923077,800,260
scaffolding_v2,synth_dpo_only,-0.09995217599234807,0.3431415919938727,45.65217391304348,300,92
scaffolding_v2,non_dpo,0.07039457562204035,0.3645489198791388,53.57142857142857,500,168
humor_v5,all,,,0.0,800,4
humor_v5,synth_dpo_only,,,,300,0
humor_v5,non_dpo,,,0.0,500,4
jargon,all,0.048906305885024016,0.1669891120072256,52.0,800,800
jargon,synth_dpo_only,0.03977099759277178,0.4925556573496424,50.33333333333333,300,300
jargon,non_dpo,0.05069311441602248,0.2578771168314649,53.0,500,500
